App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,comment_mean,comment_count
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.29566032132549985,34
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.2877923040754263,31
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.13333333333333328,3
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.30769860769860763,37
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device,0.41695141570141575,37
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up,0.44086486824412957,88
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.037985810485810484,99
Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",Free,0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.47091306584362136,81
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.09912037037037039,63
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,"10,000,000+",Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,0.19999366181657852,36
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.1680176767676768,30
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.43060344827586206,29
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,0.06519186713433872,117
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814151,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,0.06519186713433872,117
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,0.11584079160970608,38
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,0.23873106060606056,8
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454412,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,0.23873106060606056,8
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",Free,0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.25,6
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,0.27770481121442664,39
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.24555118492618497,39
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.20932583022687193,30
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.34253248776686274,39
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.34253248776686274,39
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.354636544011544,33
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,Varies with device,"5,000,000+",Free,0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device,0.2726303043825366,37
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,0.10687021254208758,40
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.39351342371079207,38
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.34045045045045036,37
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.3927835497835497,30
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",Free,0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.24262422360248448,23
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.20629078483245147,72
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.20629078483245147,72
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.268436285936286,117
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.268436285936286,117
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.268436285936286,117
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9M,"500,000+",Free,0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,38
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4571,3.9M,"500,000+",Free,0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,38
Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.75,2
Facebook Pages Manager,BUSINESS,4.0,1279184,Varies with device,"50,000,000+",Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device,-0.06108272854596383,34
Facebook Pages Manager,BUSINESS,4.0,1279800,Varies with device,"50,000,000+",Free,0,Everyone,Business,"August 6, 2018",Varies with device,Varies with device,-0.06108272854596383,34
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,117
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,117
Box,BUSINESS,4.2,159872,Varies with device,"10,000,000+",Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,117
Call Blocker,BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,0.027972582972582965,3
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",Free,0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,0.027972582972582965,3
Easy Installer - Apps On SD,BUSINESS,4.1,23055,Varies with device,"5,000,000+",Free,0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device,-0.00911033411033411,39
Facebook Ads Manager,BUSINESS,4.1,19023,Varies with device,"1,000,000+",Free,0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up,0.20340053597196453,35
Facebook Ads Manager,BUSINESS,4.1,19051,Varies with device,"1,000,000+",Free,0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up,0.20340053597196453,35
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.24316067612942613,13
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.24316067612942613,13
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,74
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,74
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,72
Google Ads,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,72
Google Ads,BUSINESS,4.3,29331,20M,"5,000,000+",Free,0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,72
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057913,77
FreshBooks Classic,BUSINESS,4.1,1802,26M,"100,000+",Free,0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057913,77
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.03782787678891576,66
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.03782787678891576,66
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,80
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,80
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.23064546308304862,43
Asana: organize team projects,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.23064546308304862,43
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,50
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,50
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916,71
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916,71
Cisco Webex Meetings,BUSINESS,4.4,108741,28M,"10,000,000+",Free,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.10357702482702483,39
Cisco Webex Teams,BUSINESS,4.2,1661,46M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.1294181246993747,40
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device,0.478809473705307,36
DC Comics,COMICS,4.2,25673,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device,0.478809473705307,36
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.30042929292929293,10
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.07138310185185184,64
Gmail,COMMUNICATION,4.3,4604483,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.07138310185185184,64
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.07138310185185184,64
Hangouts,COMMUNICATION,4.0,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.25150332863408525,114
Hangouts,COMMUNICATION,4.0,3419433,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.25150332863408525,114
Hangouts,COMMUNICATION,4.0,3419513,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.25150332863408525,114
Hangouts,COMMUNICATION,4.0,3419464,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.25150332863408525,114
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.11014201898945652,62
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.11014201898945652,62
Firefox Browser fast & private,COMMUNICATION,4.4,3075096,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.11014201898945652,62
Contacts,COMMUNICATION,4.3,66602,Varies with device,"50,000,000+",Free,0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up,0.012248710230089454,38
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.3370836118538324,34
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",Free,0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.062002591819556106,40
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.20924858940972224,64
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.20924858940972224,64
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36981,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.20924858940972224,64
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.15247928503787878,8
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.15247928503787878,8
Google Voice,COMMUNICATION,4.2,171052,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.15247928503787878,8
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device,0.333793360519551,39
Chrome Dev,COMMUNICATION,4.4,63576,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device,0.333793360519551,39
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.07167593754893901,43
Android Messages,COMMUNICATION,4.2,781810,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.07167593754893901,43
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,0.28568981481481476,18
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,0.28568981481481476,18
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device,0.029975541125541138,25
GMX Mail,COMMUNICATION,4.3,258556,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,0.34004707792207783,30
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,6
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,6
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.2024882756132756,26
GroupMe,COMMUNICATION,4.5,330761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device,0.11844004086191588,39
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,0.15442325237386617,35
BBM - Free Calls & Messages,COMMUNICATION,4.3,12843436,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,0.15442325237386617,35
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.16896820887445888,40
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.012500000000000011,2
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2265084,6.1M,"50,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.012500000000000011,2
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",Free,0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.1772660982370804,40
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133539,4.7M,"10,000,000+",Free,0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.1772660982370804,40
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.4108145831994516,38
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,"10,000,000+",Free,0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.2713527987019366,29
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",Free,0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.34557612414467254,31
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,1
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,1
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device,0.21781462585034014,14
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device,0.1241623376623377,3
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",Free,0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,-0.041666666666666664,3
Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device,0.0653009259259259,6
Caller ID +,COMMUNICATION,4.0,9498,118k,"1,000,000+",Free,0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,0.35,1
All Email Providers,COMMUNICATION,4.1,20901,7.3M,"1,000,000+",Free,0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.21499999999999994,5
GO Notifier,COMMUNICATION,4.2,124346,695k,"10,000,000+",Free,0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,0.06751958927510397,34
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241836,102
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241836,102
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241836,102
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851257,69
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851257,69
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.131246684996685,111
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.131246684996685,111
BBW Dating & Plus Size Chat,DATING,4.4,12633,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.131246684996685,111
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040018,71
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040018,71
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.33969696969696955,33
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.2493412587142295,28
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.2493412587142295,28
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.30192629419191924,32
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.1472884528311299,64
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.1472884528311299,64
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.30767763519549235,40
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",Free,0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028145,78
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31M,"500,000+",Free,0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028145,78
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194,Varies with device,"5,000,000+",Free,0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device,0.03296536796536797,35
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42197,Varies with device,"5,000,000+",Free,0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device,0.03296536796536797,35
